flight_id,player_track_id,player_name,speed_kmh,speed_ci_low_kmh,speed_ci_high_kmh,launch_angle_deg,azimuth_deg,distance_m,apex_m,on_target,goal_entry_x_m,goal_entry_y_m,confidence,why_not
0,383,#9 Erling Haaland,73.2,70.0,76.4,13.2,4.9,23.0,1.45,YES,1.34,1.27,low,
1,92,#17 Kevin De Bruyne,102.4,100.5,104.3,8.8,0.5,28.3,1.2,YES,0.22,0.61,low,
2,181,#16 Rodri,89.6,88.3,90.8,3.4,-0.0,8.8,0.24,NO,,,low,
3,131,#10 Jack Grealish,90.4,72.7,108.2,12.7,-1.2,35.9,2.11,YES,-0.7,1.62,low,
4,383,#9 Erling Haaland,79.7,76.2,83.1,24.1,3.3,50.8,5.6,NO,,,low,
5,92,#17 Kevin De Bruyne,85.1,78.8,91.5,0.6,3.5,1.9,0.12,NO,,,low,
6,131,#10 Jack Grealish,86.0,78.2,93.8,7.9,-7.0,21.0,0.84,YES,-2.43,0.48,low,
7,383,#9 Erling Haaland,63.4,61.6,65.1,30.8,5.6,32.0,4.62,NO,,,medium,
8,92,#17 Kevin De Bruyne,89.2,87.5,91.0,10.4,1.6,27.2,1.35,YES,0.59,0.91,low,
9,181,#16 Rodri,80.5,74.2,86.8,7.0,3.4,16.9,0.63,YES,0.69,0.56,low,
10,92,#17 Kevin De Bruyne,105.8,105.2,106.5,11.7,0.4,38.4,2.08,YES,0.25,0.77,medium,
11,383,#9 Erling Haaland,74.2,66.3,82.1,6.0,16.2,13.1,0.45,YES,2.95,0.34,low,
12,383,#9 Erling Haaland,98.0,90.7,105.3,3.0,3.2,14.1,0.29,YES,0.52,0.27,low,
13,92,#17 Kevin De Bruyne,97.9,88.0,107.7,4.1,11.6,19.7,0.47,YES,1.88,0.46,low,
14,131,#10 Jack Grealish,86.3,77.1,95.4,7.1,-21.7,21.3,0.77,NO,,,low,
15,,unassigned,77.2,72.5,82.0,8.8,2.5,19.6,0.86,YES,0.83,0.2,low,two players within 2.0m of contact (tracks #92 and #383)
16,,unassigned,75.9,73.5,78.2,9.1,-15.5,19.6,0.89,NO,,,low,no player within 2.0m gate
17,,unassigned,,,,,,,,NO,,,low,fewer than 6 observations (4 < 6)
18,,unassigned,,,,,,,,NO,,,low,fewer than 6 observations (5 < 6)
19,,unassigned,,,,,,,,NO,,,low,fewer than 6 observations (3 < 6)
